pH,Ct_0,pH_Cl2,Time,Ct
5.2,0.5,5.2_0.5,1,0.5
5.2,0.5,5.2_0.5,3,0.49
5.2,0.5,5.2_0.5,6,0.46
5.2,0.5,5.2_0.5,12,0.42
5.2,0.5,5.2_0.5,24,0.38
5.2,0.5,5.2_0.5,48,0.35
5.2,0.5,5.2_0.5,72,0.33
5.2,0.5,5.2_0.5,96,0.32
5.2,0.5,5.2_0.5,168,0.27
5.2,0.5,5.2_0.5,288,0.24
5.2,0.5,5.2_0.5,456,0.23
5.2,1,5.2_1,1,1
5.2,1,5.2_1,3,0.96
5.2,1,5.2_1,6,0.95
5.2,1,5.2_1,12,0.91
5.2,1,5.2_1,24,0.865
5.2,1,5.2_1,48,0.85
5.2,1,5.2_1,72,0.84
5.2,1,5.2_1,96,0.8
5.2,1,5.2_1,168,0.735
5.2,1,5.2_1,288,0.68
5.2,1,5.2_1,456,0.67
5.2,2,5.2_2,1,1.89
5.2,2,5.2_2,3,1.87
5.2,2,5.2_2,6,1.85
5.2,2,5.2_2,12,1.82
5.2,2,5.2_2,24,1.78
5.2,2,5.2_2,48,1.7
5.2,2,5.2_2,72,1.65
5.2,2,5.2_2,96,1.61
5.2,2,5.2_2,168,1.54
5.2,2,5.2_2,288,1.435
5.2,2,5.2_2,456,1.285
5.2,4,5.2_4,1,3.69
5.2,4,5.2_4,3,3.63
5.2,4,5.2_4,6,3.56
5.2,4,5.2_4,12,3.46
5.2,4,5.2_4,24,3.41
5.2,4,5.2_4,48,3.36
5.2,4,5.2_4,72,3.32
5.2,4,5.2_4,96,3.28
5.2,4,5.2_4,168,3.15
5.2,4,5.2_4,288,2.95
5.2,4,5.2_4,456,2.79
6,0,6_0,1,0
6,0,6_0,3,0
6,0,6_0,6,0
6,0,6_0,12,0
6,0,6_0,24,0
6,0,6_0,48,0
6,0,6_0,72,0
6,0,6_0,96,0
6,0,6_0,168,0
6,0,6_0,288,0
6,0,6_0,456,0
6.1,0.5,6.1_0.5,1,0.5
6.1,0.5,6.1_0.5,3,0.47
6.1,0.5,6.1_0.5,6,0.44
6.1,0.5,6.1_0.5,12,0.42
6.1,0.5,6.1_0.5,24,0.38
6.1,0.5,6.1_0.5,48,0.33
6.1,0.5,6.1_0.5,72,0.31
6.1,0.5,6.1_0.5,96,0.29
6.1,0.5,6.1_0.5,168,0.26
6.1,0.5,6.1_0.5,288,0.23
6.1,0.5,6.1_0.5,456,0.21
6.1,1,6.1_1,1,1
6.1,1,6.1_1,3,0.92
6.1,1,6.1_1,6,0.9
6.1,1,6.1_1,12,0.87
6.1,1,6.1_1,24,0.84
6.1,1,6.1_1,48,0.785
6.1,1,6.1_1,72,0.76
6.1,1,6.1_1,96,0.73
6.1,1,6.1_1,168,0.675
6.1,1,6.1_1,288,0.63
6.1,1,6.1_1,456,0.615
6.1,2,6.1_2,1,1.88
6.1,2,6.1_2,3,1.81
6.1,2,6.1_2,6,1.78
6.1,2,6.1_2,12,1.72
6.1,2,6.1_2,24,1.675
6.1,2,6.1_2,48,1.63
6.1,2,6.1_2,72,1.61
6.1,2,6.1_2,96,1.57
6.1,2,6.1_2,168,1.49
6.1,2,6.1_2,288,1.46
6.1,2,6.1_2,456,1.4
6.1,4,6.1_4,1,3.63
6.1,4,6.1_4,3,3.54
6.1,4,6.1_4,6,3.5
6.1,4,6.1_4,12,3.44
6.1,4,6.1_4,24,3.33
6.1,4,6.1_4,48,3.27
