pH,Ct_0,pH_Cl2,Replicate,Time,MCAN,MBAN,DCAN,BCAN,DBAN,TCAN,BDCAN
5.2,0.5,5.2_0.5,1,1,3.001,1.985699336,2.298702441,0.768384807,0.641389064,1.650524647,1.256208112
5.2,0.5,5.2_0.5,1,3,3.001,2.031195102,2.384048804,0.800653593,0.663794151,1.684567712,1.277286311
5.2,0.5,5.2_0.5,1,6,3.001,1.84681676,2.071609277,0.699198603,0.583304717,1.443711414,1.098379323
5.2,0.5,5.2_0.5,1,12,3.001,1.890689035,2.106075182,0.705377796,0.585269945,1.481016039,1.130069036
5.2,0.5,5.2_0.5,1,24,3.001,1.885764954,2.083657157,0.699660179,0.578944042,1.425931802,1.100282295
5.2,0.5,5.2_0.5,1,48,3.001,1.903802637,2.100525725,0.707038121,0.586502707,1.396018061,1.077491025
5.2,0.5,5.2_0.5,1,72,3.001,1.966032038,2.160519268,0.716799787,0.590562608,1.353312361,1.071855419
5.2,0.5,5.2_0.5,1,96,3.001,1.873543459,2.197096187,0.729561715,0.570490851,1.338749278,1.044138441
5.2,0.5,5.2_0.5,1,168,3.001,1.935082411,2.125575633,0.732808579,0.612304177,1.242936048,1.066139172
5.2,0.5,5.2_0.5,1,288,3.001,1.862706873,2.07601948,0.706480268,0.604445273,1.079280571,0.96501095
5.2,0.5,5.2_0.5,1,456,3.001,1.876031947,2.137938692,0.709245859,0.59122718,1.032340131,0.970106347
5.2,0.5,5.2_0.5,2,1,3.047,2.047071664,2.240786113,0.74364061,0.618035172,1.535865189,1.175003812
5.2,0.5,5.2_0.5,2,3,3.047,2.045320693,2.193489061,0.733502027,0.607904261,1.457345757,1.112771763
5.2,0.5,5.2_0.5,2,6,3.047,1.96927792,2.139598398,0.719073676,0.596333408,1.455054497,1.097344527
5.2,0.5,5.2_0.5,2,12,3.047,2.002720045,2.151446673,0.721569863,0.598786971,1.465868678,1.117839758
5.2,0.5,5.2_0.5,2,24,3.047,1.971393751,2.111801108,0.711166864,0.588217889,1.405346488,1.086629599
5.2,0.5,5.2_0.5,2,48,3.047,1.918658004,2.115493843,0.707745619,0.583793827,1.396489108,1.072619324
5.2,0.5,5.2_0.5,2,72,3.047,1.976258312,2.145005036,0.713664965,0.589476827,1.329794606,1.055642756
5.2,0.5,5.2_0.5,2,96,3.047,1.898457432,2.182418953,0.725102556,0.567521523,1.307341524,1.010071216
5.2,0.5,5.2_0.5,2,168,3.047,1.96762673,2.141975631,0.734838388,0.613726792,1.236928311,1.061534233
5.2,0.5,5.2_0.5,2,288,3.047,1.929419737,2.147947867,0.715665373,0.597563586,1.073906528,0.98498272
5.2,0.5,5.2_0.5,2,456,3.047,1.918693435,2.151534383,0.710995111,0.592328373,1.070385942,0.946061229
5.2,0.5,5.2_0.5,3,1,3.019,2.043361767,2.267355707,0.752101332,0.622936033,1.538193364,1.166198155
5.2,0.5,5.2_0.5,3,3,3.019,2.003609698,2.171917471,0.728587656,0.605652453,1.446370935,1.109336573
5.2,0.5,5.2_0.5,3,6,3.019,1.938433139,2.125026004,0.714480321,0.590101791,1.445817259,1.082347661
5.2,0.5,5.2_0.5,3,12,3.019,2.040361886,2.1919298,0.731349394,0.602648665,1.471404698,1.122341284
5.2,0.5,5.2_0.5,3,24,3.019,1.99591055,2.145211527,0.719966667,0.591135386,1.435102259,1.107840545
5.2,0.5,5.2_0.5,3,48,3.019,1.925128281,2.118928763,0.709758592,0.584770675,1.395234075,1.068399821
5.2,0.5,5.2_0.5,3,72,3.019,1.953372473,2.159156956,0.713785705,0.585864587,1.349353305,1.06873898
5.2,0.5,5.2_0.5,3,96,3.019,1.866810852,2.177300996,0.721022038,0.564549903,1.314176106,1.019951135
5.2,0.5,5.2_0.5,3,168,3.019,1.949932094,2.121362045,0.727168629,0.609384197,1.216334621,1.042694967
5.2,0.5,5.2_0.5,3,288,3.019,1.894208524,2.130870365,0.70738296,0.591583564,1.077792978,0.981845502
5.2,0.5,5.2_0.5,3,456,3.019,1.909326807,2.145298176,0.709635743,0.589952506,1.065574124,0.965783968
5.2,0.5,5.2_0.5,4,1,3.0765,1.981388219,2.15722198,0.723198323,0.61234705,1.490924622,1.15897378
5.2,0.5,5.2_0.5,4,3,3.0765,2.029186858,2.194612474,0.73347855,0.604201752,1.45890183,1.112685984
5.2,0.5,5.2_0.5,4,6,3.0765,1.931645766,2.111201312,0.709840103,0.593184194,1.422830687,1.086801785
5.2,0.5,5.2_0.5,4,12,3.0765,1.973328203,2.128370225,0.715875714,0.599374061,1.449077034,1.111489703
5.2,0.5,5.2_0.5,4,24,3.0765,1.96930216,2.115956282,0.711236123,0.585402093,1.421225568,1.094949153
5.2,0.5,5.2_0.5,4,48,3.0765,1.927495313,2.113710395,0.708142194,0.586599615,1.39179604,1.066947178
5.2,0.5,5.2_0.5,4,72,3.0765,1.939182376,2.137823598,0.707436253,0.581488494,1.336384445,1.054933499
5.2,0.5,5.2_0.5,4,96,3.0765,1.885619902,2.189516414,0.725129812,0.569094062,1.312518026,1.012226262
5.2,0.5,5.2_0.5,4,168,3.0765,1.914916011,2.107670638,0.722697972,0.604318367,1.214122427,1.042893823
5.2,0.5,5.2_0.5,4,288,3.0765,1.898376822,2.124660614,0.708328231,0.593726056,1.106365575,0.980255926
5.2,0.5,5.2_0.5,4,456,3.0765,1.89178327,2.118655606,0.705687381,0.588033521,1.060462468,0.968130649
5.2,1,5.2_1,1,1,3.2855,2.088814527,2.29107963,0.795431235,0.661633007,1.594476185,1.20607412
5.2,1,5.2_1,1,3,3.2855,2.090519626,2.259922808,0.791075672,0.657498058,1.51330615,1.150614429
5.2,1,5.2_1,1,6,3.2855,1.967759888,2.158976262,0.764281619,0.638197089,1.474078076,1.12130852
5.2,1,5.2_1,1,12,3.2855,2.02046982,2.242717631,0.77984156,0.642047719,1.486707323,1.132245047
5.2,1,5.2_1,1,24,3.2855,1.939475745,2.101884391,0.748534873,0.627528587,1.429079717,1.114659465
5.2,1,5.2_1,1,48,3.2855,1.970564346,2.158615874,0.760476476,0.631694519,1.373456531,1.090845251
5.2,1,5.2_1,1,72,3.2855,1.94446528,2.177792906,0.757382501,0.626726794,1.333214345,1.084640799
5.2,1,5.2_1,1,96,3.2855,1.922625596,2.22210603,0.77589,0.613286631,1.145080241,0.997178714
5.2,1,5.2_1,1,168,3.2855,1.962507738,2.140122817,0.774663604,0.655028116,1.116968744,1.018964617
5.2,1,5.2_1,1,288,3.2855,1.886275762,2.162470462,0.752923996,0.630698494,0.886401456,0.914599876
5.2,1,5.2_1,1,456,3.2855,1.869543529,2.099717193,0.740346205,0.628900727,0.747231701,0.849451004
5.2,1,5.2_1,2,1,3.2655,2.088582965,2.291820875,0.796831601,0.662632881,1.586519489,1.201142037
5.2,1,5.2_1,2,3,3.2655,2.07514386,2.24735841,0.787129229,0.65462192,1.508917103,1.149425728
5.2,1,5.2_1,2,6,3.2655,1.924961176,2.140968235,0.756583022,0.630322553,1.472256992,1.125983203
5.2,1,5.2_1,2,12,3.2655,2.002522238,2.201834976,0.769421456,0.639894089,1.458454489,1.123281098
5.2,1,5.2_1,2,24,3.2655,1.935339961,2.110429143,0.746987388,0.622082275,1.43670116,1.114510961
